name,confidence,models,roles,organizations,source_count,years,sources
אולם רוזנטל בימוילי דרור,medium,hebert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
##זייה רוני בהט,medium,hebert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
פרנסיס פורד קופולה לי דרור,medium,dictabert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
גלוריה גלוריה,high,dictabert+hebert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
ה״ב,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",2,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
בן דוד,medium,dictabert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",2,2025,https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2025/#main
הולנד,medium,dictabert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",2,2025,https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2025/#main
מיכאל הנקה אש ברא,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,2025,https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2025/#main
##מן פולנסקי,medium,hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,2025,https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2025/#main
שי - שינג צו קלב,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,2025,https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2025/#main
##גאורגי אונקובסקי,medium,hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,2025,https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2025/#main
צ׳רלי צ,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
פטי,medium,dictabert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
ניקולסון ופיי דאנאוויי,medium,hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
לדויד קוניו,medium,hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
אנטוניו,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
אמלי,medium,dictabert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
צ׳פלין,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
לדויד,high,dictabert+hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",2,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
. גילה,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
##נה,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
באמ,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
ג'ל,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
רוזנטל גלי,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
אייל,medium,dictabert,במאי,"מרכז קהילה ערבה, קרן הקולנוע ערבה, קרן קולנוע ערבה, המועצה האזורית ערבה תיכונה, קרן קולנוע נגב, משרד התרבות, קרן גשר, קרן גשר לקולנוע, קרן קולנוע מדרום, מכללת ספיר",2,"2020,2025",https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93%d7%aa/#main; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93%d7%aa/
3666646 aravaff,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/; https://aravaff.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/#main
yos,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/all-films/; https://aravaff.co.il/en/all-films/#main
yao miyazaki,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/archive/2023/; https://aravaff.co.il/en/archive/2023/#main
##rric,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/archive/2023/; https://aravaff.co.il/en/archive/2023/#main
david,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/en/archive/2024-en/; https://aravaff.co.il/en/archive/2024-en/#main
##im,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/en/contact-us/; https://aravaff.co.il/en/contact-us/#main
ben - david count,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/en/movies/a-letter-to-the-father/#main; https://aravaff.co.il/en/movies/a-letter-to-the-father/
rani abit,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/en/movies/a-letter-to-the-father/#main; https://aravaff.co.il/en/movies/a-letter-to-the-father/
yoel rozenkier,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/en/movies/a-letter-to-the-father/#main; https://aravaff.co.il/en/movies/a-letter-to-the-father/
##ant,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/en/movies/anora/; https://aravaff.co.il/en/movies/anora/#main
##achoukel,medium,hebert,,קרן קולנוע ערבה,2,"2014,2023",https://aravaff.co.il/en/movies/%d7%90%d7%9e%d7%90-%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/; https://aravaff.co.il/en/movies/%d7%90%d7%9e%d7%90-%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/#main
yonata,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
him,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
elisheva weil,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
hannah azulai,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
hasfari,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
sinai peter,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
yoav bavly,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
##im tabakman,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
yacov,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
lihi kornowski,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
yuval dayan,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
alblak,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
##inan,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/
##achoukeli,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main; https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
ayao miyazaki,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main; https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
haya,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
jonath,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
gai,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
hisaish,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
##shio suzuk,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
##ach,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main; https://aravaff.co.il/en/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/
##rwegian,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main; https://aravaff.co.il/en/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/
##zab,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/en/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/; https://aravaff.co.il/en/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main
##sh,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/en/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/; https://aravaff.co.il/en/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main
##el,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/movies/dj-ahmet/#main; https://aravaff.co.il/en/movies/dj-ahmet/
eti tsik,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/movies/nandauri/#main; https://aravaff.co.il/en/movies/nandauri/
shai goldman,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/movies/nandauri/#main; https://aravaff.co.il/en/movies/nandauri/
nandauri,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/movies/nandauri/#main; https://aravaff.co.il/en/movies/nandauri/
sharon,medium,hebert,,קרן קולנוע ערבה,2,"2023,2024",https://aravaff.co.il/en/movies/shorts-in-the-desert-2/; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/#main
zak,medium,hebert,,קרן קולנוע ערבה,2,"2023,2024",https://aravaff.co.il/en/movies/shorts-in-the-desert-2/; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/#main
##ni,medium,hebert,,קרן קולנוע ערבה,2,"2023,2024",https://aravaff.co.il/en/movies/shorts-in-the-desert-2/; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/#main
dem,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/en/movies/stop-making-sense/#main; https://aravaff.co.il/en/movies/stop-making-sense/
##s,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/en/movies/the-country-calls-you/; https://aravaff.co.il/en/movies/the-country-calls-you/#main
##zaki,medium,hebert,,קרן קולנוע ערבה,2,2016,https://aravaff.co.il/en/movies/the-red-turtle/#main; https://aravaff.co.il/en/movies/the-red-turtle/
##and,medium,hebert,,קרן קולנוע ערבה,2,"2020,2021,2025",https://aravaff.co.il/en/program/#main; https://aravaff.co.il/en/program/
סופיה אוטר,medium,dictabert,שחקן,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/
אסטי,medium,dictabert,"שחקן, במאי",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/
סופיה אוטרו,medium,hebert,שחקן,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/
אסטיבליז אורסולה סולגורן,medium,hebert,"שחקן, במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/
דניאלה נובי,medium,dictabert,מפיק,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
סתיו מורג מרון,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
אמילי וייס,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
אלדד פרי,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
תימ,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
אלדד פריבס,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
שירה גפן מדינה ישראל,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
מאי רש,high,dictabert+hebert,מפיק,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
